Exams,link,CFU,Language,Period,ordinamento,table,SSD,Pillar,Subpillar,avaiability
Simulation,https://www.unimi.it/it/ugov/of/af20260000fba-56,6,ENG,1,F94|FBA,B|2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Industry and Business,enabled
Sistemi intelligenti avanzati,https://www.unimi.it/it/ugov/of/af20260000fba-55,6,ITA,2,F94|FBA,B|2,INF/01,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Artificial Intelligence,enabled
Sonic interaction design,https://www.unimi.it/it/ugov/of/af20260000fba-53,6,ENG,2,FBA,2,INF/01,INTERACTION AND MULTIMEDIA,Audio and Music,enabled
Sound in interaction,https://www.unimi.it/it/ugov/of/af2026000f94-141,6,ENG,1,F94,C,INF/01,INTERACTION AND MULTIMEDIA,Audio and Music,enabled
Specifica e verifica di sistemi critici,https://www.unimi.it/it/ugov/of/af20260000fba-52,6,ITA,3,FBA,2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Theory,enabled
Statistical methods for machine learning,https://www.unimi.it/it/ugov/of/af20260000fba-51,6,ENG,2,F94|FBA,A|B|2,INF/01,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Artificial Intelligence,enabled
Sviluppo di applicazioni per dispositivi mobili,https://www.unimi.it/it/ugov/of/af20260000fba-50,6,ITA,2,F94|FBA,B|2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Distributed and Mobile Computing,enabled
Sviluppo software in gruppi di lavoro complessi,https://www.unimi.it/it/ugov/of/af20260000fba-49,6,ITA,3,FBA,A|B|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Software,Biennial (Even)
Tecniche e applicazioni biometriche,https://www.unimi.it/it/ugov/of/af20260000fba-48,6,ITA,2,FBA,2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Security,enabled
Tecniche speciali di programmazione,https://www.unimi.it/it/ugov/of/af20260000fba-47,6,ITA,1,F94|FBA,B|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Software,Biennial (Odd)
Teoria dei grafi,https://www.unimi.it/it/ugov/of/af20260000fba-46,6,ITA,2,F94|FBA,C|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Theory,enabled
Teoria dei linguaggi,https://www.unimi.it/it/ugov/of/af20260000fba-45,6,ITA,3,F94|FBA,B|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Theory,enabled
Verifica e convalida del software,https://www.unimi.it/it/ugov/of/af20260000fba-44,6,ITA,3,F94|FBA,B|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Software,Biennial (Odd)
Visione artificiale,https://www.unimi.it/it/ugov/of/af20260000fba-42,6,ITA,2,F94|FBA,B|2,INF/01,INTERACTION AND MULTIMEDIA,Imaging and Video,enabled
Web programming for sound and music,https://www.unimi.it/it/ugov/of/af20260000fba-41,6,ITA,3,FBA,2,INF/01,INTERACTION AND MULTIMEDIA,Audio and Music,enabled
Progettazione di sistemi operativi sicuri,https://www.unimi.it/it/corsi/insegnamenti-dei-corsi-di-laurea/2026/progettazione-di-sistemi-operativi-sicuri,6,ITA,,FBA,,,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Security,From 2028/29
Natural Interaction,https://myariel.unimi.it/course/view.php?id=4516,6,ENG,,F94|FBA,A|B|,,INTERACTION AND MULTIMEDIA,Imaging and Video,From 2028/29
Tecniche di protezione del software,https://www.unimi.it/it/corsi/insegnamenti-dei-corsi-di-laurea/2026/tecniche-di-protezione-del-software-0,6,ITA,2,F94|FBA,B|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Software,enabled
Modellazione e analisi di sistemi,https://www.unimi.it/it/corsi/insegnamenti-dei-corsi-di-laurea/2026/modellazione-e-analisi-di-sistemi,6,ITA,2,F94|FBA,C|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Theory,disabled
Sicurezza nelle architetture orientate ai servizi,https://www.unimi.it/it/corsi/insegnamenti-dei-corsi-di-laurea/2026/sicurezza-delle-architetture-orientate-ai-servizi,6,ITA,2,F94|FBA,B|2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Security,disabled
